album,date,track,lyrics
Led Zeppelin II,1969-02-22 00:00:00,What Is and What Should Never Be,"[Verse 1]And if I say to you tomorrowTake my hand, child, come with meIt's to a castle I will take youWhere what's to be, they say will be[Chorus]Catch the wind, see us spin, sail away, leave todayWay up high in the sky, ...[?]But the wind won't blow, you really shouldn't goIt only goes to showThat you will be mine, by taking our timeOh..[Verse 2]And if you say to me tomorrowOh, what fun it all would beThen what's to stop us, pretty babyBut what is and what should never be?[Chorus]Catch the wind, see us spin, sail away, leave todayWay up high in the sky, ...[?]But the wind won't blow, you really shouldn't goIt only goes to showThat you will be mine, by taking our time [Instrumental break 1:36-2:38][Verse 3]So if you wake up with the sunriseAnd all your dreams are still as newAnd happiness is what you need so badGirl, the answer lies with you, yeah[Chorus]Catch the wind, see us spin, sail away, leave todayWay up high in the sky, ...[?]But the wind won't blow, you really shouldn't goIt only goes to showThat you will be mine, by taking our time[Outro]Hey, ho, but the wind won't blow, and we really shouldn't goAnd it only goes to showCatch the wind, we're going to see it spin, we're going to...sail, leave todayDo do do, bop bop a do-oh. My my my my my my yeahEverybody I know seems to know me wellBut they're never going to know that I move like hellBaby, baby, baby, baby, baby, baby. Oh lordBaby baby babe. Huh? Oh, I love yaDo no no no no no no. C'mon nowI want you now"
Led Zeppelin II,1969-02-22 00:00:00,The Lemon Song,"[Verse 1]I should have quit you long time agoOhh, yeahhh, long time agoI wouldn't be here, my childrenDown on this killing floor[Verse 2]I should have listened, baby, to my second mindOh, I should have listened, baby, to my second mindEvery time I go away and leave you, darlingYou send me the blues way down the lineOh..[Instrumental Break][Instrumental Chorus][Verse 3]Babe, yeahGive it to me, babyOoh, my, my, my, my, myI'll take it down a little bitPeople tell me, babyCan't be satisfiedTryin' to worry me, baby, but I'd never get you with myselfKeep on worrying, babyCan't keep you satisfiedHuh, let me tell you, babyYou ain't nothing but a two-bit, no-good jive... [Verse 4]I went to sleep last night, I worked as hard as I canI bring home my moneyYou take my moneyGive it to another manI should have quit you, babyOh, such a long time ago, ohI wouldn't be here with all my troublesDown on this killing floor[Verse 5]Squeeze me, baby, till the juice runs down my legSqueeze me, baby, till the juice runs down my legThe way you squeeze my lemon, ahI'm gonna fall right out of bedBed, bed, bed, yeah[Bridge]Hey, hey, hey, hey, hey, hey, hey, hey, youBaby, baby, baby, baby, baby, baby, baby, baby, baby, baby, baby, babyHey, hey, hey, hey, hey, oh, oh[Instrumental Chorus][Outro]I'm going to leave my children down on this killing floor"
Led Zeppelin II,1969-02-22 00:00:00,Thank You,"[Chorus]If the sun refused to shineI would still be loving youWhen mountains crumble to the seaThere will still be you and me[Bridge]Kind woman, I give you my allKind woman, nothing more[Verse 1]Little drops of rain whisper of the painTears of loves lost in the days gone byMy love is strongWith you there is no wrongTogether we shall go until we die, my, my, myAn inspiration is what you are to meInspiration - look, see[Acoustic Guitar Solo][Verse 2]And so today, my world, it smilesYour hand in mine, we walk the milesAnd thanks to you it will be doneFor you to me are the only oneAll right, yeahHappiness, no more be sadHappiness - I'm glad [Chorus]If the sun refused to shineI would still be loving youWhen mountains crumble to the seaThere will still be you and me"
Led Zeppelin II,1969-02-22 00:00:00,Heartbreaker,"[Instrumental Intro][Verse 1]Hey fellas, have you heard the news?You know that Annie's back in townI won't take long, just watch and see how the fellas lay their money downHer style is new, but the face the same as it was so long agoBut from her eyes, a different smile like that of one who knows[Verse 2]Well, it's been ten years or maybe more since I first set eyes on youThe best years of my life gone by, here I am alone and blueSome people cry and some people die by the wicked ways of loveBut I'll just keep on rollin' along with the grace of the Lord above[Bridge]People talkin all around 'bout the way you left me flatI don't care what the people say, I know where their jive is atOne thing I do have on my mind if you can clarify, please doIt's the way you call me another guy's nameWhen I try to make love to you, yeahI try to make love but it ain't no useGive it to meGive it[Instrumental Break][Guitar Solo][Verse 3]Mm, work so hard I couldn't unwindGet some money savedAbuse my love a thousand timesHowever hard I triedHeartbreaker, your time has comeCan't take your evil wayGo away, heartbreaker[Outro]Heartbreaker!Heartbreaker!Heart!"
Led Zeppelin II,1969-02-22 00:00:00,Living Loving Maid (She's Just a Woman),"[Verse 1]With a purple umbrella and a fifty-cent hatLiving, loving, she's just a womanMissus Cool rides out in her aged CadillacLiving, loving, she's just a woman[Chorus]Come on, babe, on the roundaboutRide on the merry-go-roundWe all know what your name isSo you better lay your money down[Verse 2]Alimony, alimony, paying your billsLiving, loving, she's just a womanWhen your conscience hits, you knock it back with pillsLiving, loving, she's just a woman[Chorus]Come on, babe, on the roundaboutRide on the merry-go-roundWe all know what your name isSo you better lay your money down[Verse 3]Telling tall tales of how it used to beLiving, loving, she's just a womanWith the butler and the maid and the servants threeLiving, loving, she's just a woman Ah, get it now, get it[Solo]Ooo, you got it[Verse 4]Nobody hears a single word you sayLiving, loving, she's just a womanBut you keep on talking till your dying dayLiving, loving, she's just a woman[Chorus]Come on, babe, on the roundaboutRide on the merry-go-roundWe all know what your name isSo you better lay your money down[Outro]Living, loving, she's just a womanLiving, living, loving, loving, she's just a womanLi-li-li-li-live, lo-lo-lo-lo-love, she's just a woman"
Led Zeppelin II,1969-02-22 00:00:00,Ramble On,"[Verse 1]The leaves are falling all around, time I was on my wayThanks to you, I'm much obliged for such a pleasant stayBut now it's time for me to go, the autumn moon lights my wayFor now I smell the rain, and with it pain, and it's headed my wayAh, sometimes I grow so tiredBut I know I've got one thing I got to do[Chorus]Ramble on, and now's the time, the time is nowTo sing my song, I'm going 'round the world, I gotta find my girlOn my way, I've been this way ten years to the dayRamble on, gotta find the queen of all my dreams[Verse 2]Got no time to for spreading rootsThe time has come to be goneAnd though ""Our health"" we drank a thousand timesIt's time to ramble on[Chorus]Ramble on, and now the time, the time is nowTo sing my song, I'm going 'round the world, I gotta find my girlOn my way, I've been this way ten years to the dayI gotta ramble on, I gotta find the queen of all my dreams [Bridge]I tell you no lie[Verse 3]Mine's a tale that can't be told, my freedom I hold dearHow years ago in days of old, when magic filled the air'Twas in the darkest depths of Mordor, I met a girl so fairBut Gollum and the Evil One crept up and slipped away with herHer, her, yeahAh, there's nothing I can do nowI guess I'll keep on[Outro]Ramblin', I'm gonna shake (Sing my song)I gotta find my babyI'm gonna ramble on, sing my songGonna work my way, going 'round the worldBaby, baby (Ramble on)Do do do do do do do do, my babyI can't stop this feeling in my heartEvery time I think about my baby I think, ""We gots to part""Gotta keep on searching for my babyBaby, baby, baby, baby, babyI gotta keep on searching for my babyMy, my, my, my, my, my, babyI can't find my bluebird!I listened to what my bluebird said, but I, I can't find my bluebird!I keep rambling, baby"
Led Zeppelin II,1969-02-22 00:00:00,Moby Dick,
Led Zeppelin II,1969-02-22 00:00:00,Bring It on Home,"[Verse 1]Baby, babyI'm gonna bring it on home to youI've got my ticket, I've got that loadGot up, gone higher, all aboardI'll take my seat, right way back, ooh yeahWatch this train roll down the trackI'm gonna bring it on homeBring it on home to youWatch out, watch out...[?][Verse 2]Try to tell you, babyWhat you trying to do?Trying to love me, babyAnd love some other men tooBring it on home, bring it on homeWent a little walk downtownMessed and got back lateFound a note there waitingIt said, ""Daddy, I just can't wait.""Bring it on home, bring it on homeBring it back home, bring it back home to me, baby[Verse 3]Tell you, pretty babyYou love to mess me 'roundI'm going to give you loving, babyGoing to move you out of townBring it on home, bring it on homeSweetest little baby daddy ever sawI'm going to give you loving, babyI'm going to give you moreBring it on home, bring it on homeBring it on home, oh, right [Outro]Bring it on home, bring it on home to you"
Led Zeppelin III,1970-02-22 00:00:00,Immigrant Song,"[Intro]​(Two, three, four)[Chorus]Ah-ah, ahAh-ah, ahWe come from the land of the ice and snowFrom the midnight sun where the hot springs flow[Verse 1]The hammer of the godsWill drive our ships to new landsTo fight the horde and sing and cryValhalla, I am coming[Pre-Chorus]On we sweep with threshing oarOur only goal will be the western shore[Chorus]Ah-ah, ahAh-ah, ahWe come from the land of the ice and snowFrom the midnight sun where the hot springs flow[Verse 2]How soft your fields so greenCan whisper tales of goreOf how we calmed the tides of warWe are your overlords [Pre-Chorus]On we sweep with threshing oarOur only goal will be the western shore[Verse 3]So now you'd better stopAnd rebuild all your ruinsFor peace and trust can win the dayDespite of all your losing[Outro]Ooh ooh ooh, ooh ooh oohAhh ah, ooh ooh oohOoh ooh ooh, ooh ooh ooh"
Led Zeppelin III,1970-02-22 00:00:00,Friends,"[Verse 1]Bright light almost blindingBlack night still there shiningI can't stop, keep on climbingLooking for what I knewHad a friend, she once told me“You got love, you ain't lonely”Now she's gone and left me onlyLooking for what I knew[Instrumental][Chorus]Mmm, I'm telling you nowThe greatest thing you ever can do nowIs trade a smile with someone who's blue nowIt's very easy, just…[Verse 2]Met a man on the roadside cryingWithout a friend, there's no denyingYou're incomplete, they'll be no findingLooking for what you knewSo anytime somebody needs youDon't let them down, although it grieves youSomeday you'll need someone like they doLooking for what you knew [Instrumental][Chorus]Mmm, I'm telling you nowThe greatest thing you ever can do nowIs trade a smile with someone who's blue nowIt's very easy, just… oh, yeah…[Post-Chorus]Ah, nahMy, myMy, myMy, myMy, my, my, my, my, my…[Outro]I'm telling you nowThe greatest thing you ever can do nowIs trade a smile with someone who's blue nowIt's very easy, It's very easyIt's very easy, It's easy, easy, yeah yeah[Segue to ""Celebration Day""]"
Led Zeppelin III,1970-02-22 00:00:00,Celebration Day,"[Verse 1]Her face is cracked from smilingAll the fears that she's been hidingAnd it seems that pretty soon everybody's gonna knowAnd her voice is sore from shoutingCheering winners who are losingAnd she worries if their days are fewAnd soon they'll have to go[Chorus]My, my, my, I'm so happyI'm gonna join the bandWe' gonna dance and sing in celebrationWe're in the promised land[Verse 2]She hears them talk of new waysTo protect the home she lives inThen she wonders what it's all aboutWhen they break down the doorHer name is Brown or White or BlackYou know her very wellYou hear her cries of mercyAs the winners toll the bell[Chorus]My, my, my, I'm so happyI'm gonna join the band, yeahWe' gonna sing and dance in celebrationWe're in the promised land [Guitar Solo][Verse 3]Oooh, there is a train that leaves the stationHeading for your destinationBut the price you pay to nowhereHas increased a dollar more. Yes, it has!And if you walk, you're gonna get thereAnd though it takes a little longerAnd when you see it in the distanceYou will wring your hands and moan, oh, yeah, moanOoh, yeah yeah yeah yeah yeah, moan moan[Ad libs continue][Outro]If you walk you're gonna get thereThough it takes a little longerAnd when you see it in the distanceYou will wring your hands and moan..."
Led Zeppelin III,1970-02-22 00:00:00,Since I've Been Loving You,"[Intro]Oh![Verse 1]Working from sevenTo eleven every nightReally makes life a dragI don't think that's rightI've really been the best, the best of foolsI did what I could, yeah'Cause I love you, baby, how I love you, darlingHow I love you, baby, my beloved little girl, little girl[Chorus]But, baby, since I've been loving you, yeahI'm about to lose my worried mind, oh yeah[Verse 2]Everybody trying to tell meThat you didn't mean me no goodI've been trying, Lord, let me tell youLet me tell you, I really did the best I couldI've been, I've been working from sevenTo eleven every nightI said it kinda makes my life a drag, drag, drag, dragLord, yeah, that ain't right, now, now! [Chorus]Since I've been loving you, yeahI'm about to lose my worried mind[Guitar Solo]Watch out![Bridge]I said I've been crying, yeahOh, my tears, they fell like rainDon't you hear them? Don't you hear them falling?Don't you hear them? Don't you hear them falling?[Verse 3]Do you remember, mama, when I knocked upon your door?I said, you had the nerve to tell meYou didn't want me no more, yeahI open my front door, I hear my back door slamYou know, I must have one of them newfangledNewfangled back-door menYeah, yeah, yeah, yeah, yeahI've been a-working from seven, seven, sevenTo eleven every nightIt kinda makes my life a dragA drag, dragAh yeah! It makes it a drag [Chorus]Baby, since I've been loving youI'm about to lose, I'm about to lose, lose my worried mindAnd just one more, just one moreOh, yeah!Since I've been loving you, I'm gonna lose my worried mind"
Led Zeppelin III,1970-02-22 00:00:00,Out on the Tiles,"[Verse 1]As I walk down the highwayAll I do is sing a songAnd a train that's passin' my wayHelps the rhythm move alongThere is no doubt about the words are clearThe voice is strong, it's oh so strong[Verse 2]I'm just a simple guyI live from day to dayA ray of sunshine melts my frownAnd blows my blues awayThere's nothing more that I can sayBut on a day like today I pass the time awayAnd walk a quiet mile with you[Chorus]All I need from you is all your loveAll you got to give to me is all your loveAll I need from you is all your loveAll you got to give to me is all your loveOooh yeah, oooh yeahOooh yeah, oooh yeah[Verse 3]I'm so glad I'm living (Stop!)Gonna tell the world I amI got me a fine womanAnd she says that I'm her manOne thing that I know for sureGonna give her all the lovingLike nobody, nobody, nobody, nobody can [Verse 4]Standing in the noonday sunTrying to flag a ridePeople go, and people comeSee my rider right by my sideIt's a total disgrace, they set the paceIt must be a race, and the best thing I can do is run[Chorus]All I need from you is all your loveAll you got to give to me is all your loveAll I need from you is all your loveAll you got to give to me is all your loveOooh yeah, oooh yeahOooh yeah, oooh yeah[Outro]Ah yeah, ah yeah, ah yeahOh, da da da 70 moreAll I do is say let's keep onOoh yeah, ooh yeah, ooh yeahOoh yeah, ooh yeah, ooh yeahAah ah ah yeah yeahAaaahhh yeah yeah"
