album,track,lyrics,tokens,types,lemmas,ttr,lemma_ratio
led zeppelin (boxed set 2),down by the seaside,"down by the seaside see the boats go sailing can the people hear oh, what the little fish are saying? oooh oooh oh, oh the people turned away, oh the people turned away down in the city streets see all the folk go racing, racing no time left, oh no to pass the time of day oooh oooh hey, hey, yeah the people turned away the people turned away see led zeppelin liveget tickets as low as $39you might also like so far away, so far away see how they run, see how they run see how they run, see how they run do you still do the twist? do you find you remember things that well? i wanna tell you some go twisting every day though sometimes it's awful hard to tell uh huh, uh huh, uh huh, ohh out in the country hear the people singing singing about their growin' knowing where they're goin' yeah, yeah oooh oooh oh, oh, oh, oh the people turned away, yeah the people turned away sing loud for the sunshine pray hard for the rain and show your love for lady nature and she will come back again yeah, yes, she will oooh oooh oh, oh, oh the people turned away the people turned away 3embed down by the seaside see the boats go sailing can the people hear oh, what the little fish are saying? oooh oooh oh, oh the people turned away, oh the people turned away down in the city streets see all the folk go racing, racing no time left, oh no to pass the time of day oooh oooh hey, hey, yeah the people turned away the people turned away so far away, so far away see how they run, see how they run see how they run, see how they run do you still do the twist? do you find you remember things that well? i wanna tell you some go twisting every day though sometimes it's awful hard to tell uh huh, uh huh, uh huh, ohh out in the country hear the people singing singing about their growin' knowing where they're goin' yeah, yeah oooh oooh oh, oh, oh, oh the people turned away, yeah the people turned away sing loud for the sunshine pray hard for the rain and show your love for lady nature and she will come back again yeah, yes, she will oooh oooh oh, oh, oh the people turned away the people turned away",420,104,101,24.761904761904763,97.11538461538461
led zeppelin (boxed set),celebration day,"her face is cracked from smiling all the fears that she's been hiding and it seems that pretty soon everybody's gonna know and her voice is sore from shouting cheering winners who are losing and she worries if their days are few and soon they'll have to go my, my, my, i'm so happy i'm gonna join the band we' gonna dance and sing in celebration we're in the promised land she hears them talk of new ways to protect the home she lives in then she wonders what it's all about when they break down the door her name is brown or white or black you know her very well you hear her cries of mercy as the winners toll the bell my, my, my, i'm so happy i'm gonna join the band, yeah we' gonna sing and dance in celebration we're in the promised land see led zeppelin liveget tickets as low as $39you might also like oooh, there is a train that leaves the station heading for your destination but the price you pay to nowhere has increased a dollar more. yes, it has! and if you walk, you're gonna get there and though it takes a little longer and when you see it in the distance you will wring your hands and moan, oh, yeah, moan ooh, yeah yeah yeah yeah yeah, moan moan if you walk you're gonna get there though it takes a little longer and when you see it in the distance you will wring your hands and moan...4embed her face is cracked from smiling all the fears that she's been hiding and it seems that pretty soon everybody's gonna know and her voice is sore from shouting cheering winners who are losing and she worries if their days are few and soon they'll have to go my, my, my, i'm so happy i'm gonna join the band we' gonna dance and sing in celebration we're in the promised land she hears them talk of new ways to protect the home she lives in then she wonders what it's all about when they break down the door her name is brown or white or black you know her very well you hear her cries of mercy as the winners toll the bell my, my, my, i'm so happy i'm gonna join the band, yeah we' gonna sing and dance in celebration we're in the promised land  oooh, there is a train that leaves the station heading for your destination but the price you pay to nowhere has increased a dollar more. yes, it has! and if you walk, you're gonna get there and though it takes a little longer and when you see it in the distance you will wring your hands and moan, oh, yeah, moan ooh, yeah yeah yeah yeah yeah, moan moan if you walk you're gonna get there though it takes a little longer and when you see it in the distance you will wring your hands and moan...",541,133,122,24.58410351201479,91.72932330827066
led zeppelin (boxed set 2),the crunge,"""do you want to take it away, john?"" ""if you like, jim"" i wanna tell you about my good thing i ain't disclosing no names, but he sure is a good friend, and i ain't gonna tell you where he comes from, boy if i tell you, you won't come again-oh, hey i ain't gonna tell you nothing, but i do will, but i know, yeah! now let me tell you about my girl i open up a newspaper, and what do i see? ah, ah see my girl, ah, looking at me ooh, and when she walks, she walks let me tell you, when she talks, she talks and when she looks me in my eye she's my baby, lord, i wanna make her mine ooh, tell me, baby, what you want me to do and you want me to love you, love some other men? ooh, ain't gonna call me mr. pitiful, no! ah, i don't need no respect from nobody, no, no see led zeppelin liveget tickets as low as $39you might also like ah yeah, no, no ah i ain't gonna tell you nothing, i ain't gonna tell you no more, no! she's my baby, let me tell you that i love her so and, and! she is the woman i really wanna love, and let me tell you more ooh! she's my baby, let me tell you, she lives next door she's the one a woman, the one a woman that i know i ain't going, i ain't going, i ain't going to tell i ain't going to tell you one thing that you really ought to know, boy! she's my lover, baby, and i love her so, and she's the one that really makes me whirl and twirl, and! she's the kind of lover that makes me feel the whole world, and she's the one who really makes me jump and shout, oh! she's the kind of girl, i know what it's all about! take it on take it, take it, take it ah, excuse me oh, will you excuse me? i'm just trying to find the bridge! has anybody seen the bridge? please! (have you seen the bridge?) i ain't seen the bridge! (where's that confounded bridge?)4embed ""do you want to take it away, john?"" ""if you like, jim"" i wanna tell you about my good thing i ain't disclosing no names, but he sure is a good friend, and i ain't gonna tell you where he comes from, boy if i tell you, you won't come again-oh, hey i ain't gonna tell you nothing, but i do will, but i know, yeah! now let me tell you about my girl i open up a newspaper, and what do i see? ah, ah see my girl, ah, looking at me ooh, and when she walks, she walks let me tell you, when she talks, she talks and when she looks me in my eye she's my baby, lord, i wanna make her mine ooh, tell me, baby, what you want me to do and you want me to love you, love some other men? ooh, ain't gonna call me mr. pitiful, no! ah, i don't need no respect from nobody, no, no ah yeah, no, no ah i ain't gonna tell you nothing, i ain't gonna tell you no more, no! she's my baby, let me tell you that i love her so and, and! she is the woman i really wanna love, and let me tell you more ooh! she's my baby, let me tell you, she lives next door she's the one a woman, the one a woman that i know i ain't going, i ain't going, i ain't going to tell i ain't going to tell you one thing that you really ought to know, boy! she's my lover, baby, and i love her so, and she's the one that really makes me whirl and twirl, and! she's the kind of lover that makes me feel the whole world, and she's the one who really makes me jump and shout, oh! she's the kind of girl, i know what it's all about! take it on take it, take it, take it ah, excuse me oh, will you excuse me? i'm just trying to find the bridge! has anybody seen the bridge? please! (have you seen the bridge?) i ain't seen the bridge! (where's that confounded bridge?)",799,130,118,16.270337922403,90.76923076923077
led zeppelin (boxed set 2),out on the tiles,"as i walk down the highway all i do is sing a song and a train that's passin' my way helps the rhythm move along there is no doubt about the words are clear the voice is strong, it's oh so strong i'm just a simple guy i live from day to day a ray of sunshine melts my frown and blows my blues away there's nothing more that i can say but on a day like today i pass the time away and walk a quiet mile with you all i need from you is all your love all you got to give to me is all your love all i need from you is all your love all you got to give to me is all your love oooh yeah, oooh yeah oooh yeah, oooh yeah i'm so glad i'm living (stop!) gonna tell the world i am i got me a fine woman and she says that i'm her man one thing that i know for sure gonna give her all the loving like nobody, nobody, nobody, nobody can see led zeppelin liveget tickets as low as $39you might also like standing in the noonday sun trying to flag a ride people go, and people come see my rider right by my side it's a total disgrace, they set the pace it must be a race, and the best thing i can do is run all i need from you is all your love all you got to give to me is all your love all i need from you is all your love all you got to give to me is all your love oooh yeah, oooh yeah oooh yeah, oooh yeah ah yeah, ah yeah, ah yeah oh, da da da 70 more all i do is say let's keep on ooh yeah, ooh yeah, ooh yeah ooh yeah, ooh yeah, ooh yeah aah ah ah yeah yeah aaaahhh yeah yeah4embed as i walk down the highway all i do is sing a song and a train that's passin' my way helps the rhythm move along there is no doubt about the words are clear the voice is strong, it's oh so strong i'm just a simple guy i live from day to day a ray of sunshine melts my frown and blows my blues away there's nothing more that i can say but on a day like today i pass the time away and walk a quiet mile with you all i need from you is all your love all you got to give to me is all your love all i need from you is all your love all you got to give to me is all your love oooh yeah, oooh yeah oooh yeah, oooh yeah i'm so glad i'm living (stop!) gonna tell the world i am i got me a fine woman and she says that i'm her man one thing that i know for sure gonna give her all the loving like nobody, nobody, nobody, nobody can standing in the noonday sun trying to flag a ride people go, and people come see my rider right by my side it's a total disgrace, they set the pace it must be a race, and the best thing i can do is run all i need from you is all your love all you got to give to me is all your love all i need from you is all your love all you got to give to me is all your love oooh yeah, oooh yeah oooh yeah, oooh yeah ah yeah, ah yeah, ah yeah oh, da da da 70 more all i do is say let's keep on ooh yeah, ooh yeah, ooh yeah ooh yeah, ooh yeah, ooh yeah aah ah ah yeah yeah aaaahhh yeah yeah",663,137,128,20.66365007541478,93.43065693430657
led zeppelin (boxed set 2),sick again,"from the window of your rented limousine i caught your pretty blue eyes one day soon, you're gonna reach sixteen painted lady in the city of lies oh, do you know my name? do i look the same? you know i'm the one you want, babe i must be the one you need, yeah clutching pages from your teenage dream in the lobby of the hotel paradise through the circus of the l.a. queens how fast you'll learn the downhill slide oh, how you like my face? still don't know your name you know i'm the one you want, babe, ooh, yes i must be the one you need, need, need, need, yeah, yeah, yeah, yeah oh, you've got to tell me see led zeppelin liveget tickets as low as $39you might also like just a minute, just a minute lips like cherries on the brow of a queen come on, flash across in my eyes said you dug me since you were thirteen then you giggle as you heave and sigh oh, do you know my name? do i look the same? baby, i gotta tell you, i'm the one you want and everybody know i'm the one you need, yeah oh, give it to me come on now come on now come on now hours, hours, and the moments in between oh, baby, how the time flies the fun of coming, oh, the pain in leaving baby, dry those silver eyes oh, do you know my name? do i look the same? you know i'm the one you want, ooh, yes i'm the one you need, yeah ooh, that's right ooh, yeah, that's right ooh, that's right that's right that's right ooh, yeah, that's right that's right aah, aah, aah, aah, aah *cough*1embed from the window of your rented limousine i caught your pretty blue eyes one day soon, you're gonna reach sixteen painted lady in the city of lies oh, do you know my name? do i look the same? you know i'm the one you want, babe i must be the one you need, yeah clutching pages from your teenage dream in the lobby of the hotel paradise through the circus of the l.a. queens how fast you'll learn the downhill slide oh, how you like my face? still don't know your name you know i'm the one you want, babe, ooh, yes i must be the one you need, need, need, need, yeah, yeah, yeah, yeah oh, you've got to tell me  just a minute, just a minute lips like cherries on the brow of a queen come on, flash across in my eyes said you dug me since you were thirteen then you giggle as you heave and sigh oh, do you know my name? do i look the same? baby, i gotta tell you, i'm the one you want and everybody know i'm the one you need, yeah oh, give it to me come on now come on now come on now hours, hours, and the moments in between oh, baby, how the time flies the fun of coming, oh, the pain in leaving baby, dry those silver eyes oh, do you know my name? do i look the same? you know i'm the one you want, ooh, yes i'm the one you need, yeah ooh, that's right ooh, yeah, that's right ooh, that's right that's right that's right ooh, yeah, that's right that's right aah, aah, aah, aah, aah *cough*",618,125,116,20.22653721682848,92.80000000000001
led zeppelin (boxed set),the wanton song,"silent woman in the night, you came took my seed from my shaking frame same old fire, another flame and the wheel rolls on silent woman through the flames, you come from the deep behind the sun seems my nightmares, my loving gun left me barely holding on, oh  with blazing eyes you see my trembling hand when we know the time has come lose my senses, lose command feel your healing rivers run is it every time i fall that i think this is the one? ooh, in the darkness can you hear me call? another day has just begun another day, yeah see led zeppelin liveget tickets as low as $39you might also like ooooh silent woman, my face is changed some know in ways to come feel my fire needs a brand new flame and the wheel rolls on, rolls on rolls on, rolls on, babe, oooooooh2embed silent woman in the night, you came took my seed from my shaking frame same old fire, another flame and the wheel rolls on silent woman through the flames, you come from the deep behind the sun seems my nightmares, my loving gun left me barely holding on, oh  with blazing eyes you see my trembling hand when we know the time has come lose my senses, lose command feel your healing rivers run is it every time i fall that i think this is the one? ooh, in the darkness can you hear me call? another day has just begun another day, yeah ooooh silent woman, my face is changed some know in ways to come feel my fire needs a brand new flame and the wheel rolls on, rolls on rolls on, rolls on, babe, oooooooh",291,99,96,34.02061855670103,96.96969696969697
led zeppelin (boxed set 2),tea for one,"how come twenty-four hours baby, sometimes seem to slip into days? oh, twenty-four hours baby, sometimes seem to slip into days, yeah? when a minute seems like a lifetime oh, baby, when i feel this way sitting, looking at the clock oh, time moves so slow i've been watchin' for the hands to move until i just can't look no more how come twenty-four hours baby, sometimes seems to slip into days? a minute seems like a lifetime baby, when i feel this way  to sing a song for you i recall you used to say ""oh, baby, this one's for we two"" which in the end is you anyway see led zeppelin liveget tickets as low as $39you might also like how come twenty-four hours baby, sometimes seem to slip into days? a minute seems like a lifetime oh, baby, when i feel this way there was a time that i stood tall in the eyes of other men but by my own choice i left you, woman and now i can't get back again how come twenty-four hours sometimes seem to slip into days, days? well, well, well, a minute seems like a lifetime baby, when i feel this way a minute seems like a lifetime oh, baby, when i feel this way i feel this way4embed how come twenty-four hours baby, sometimes seem to slip into days? oh, twenty-four hours baby, sometimes seem to slip into days, yeah? when a minute seems like a lifetime oh, baby, when i feel this way sitting, looking at the clock oh, time moves so slow i've been watchin' for the hands to move until i just can't look no more how come twenty-four hours baby, sometimes seems to slip into days? a minute seems like a lifetime baby, when i feel this way  to sing a song for you i recall you used to say ""oh, baby, this one's for we two"" which in the end is you anyway how come twenty-four hours baby, sometimes seem to slip into days? a minute seems like a lifetime oh, baby, when i feel this way there was a time that i stood tall in the eyes of other men but by my own choice i left you, woman and now i can't get back again how come twenty-four hours sometimes seem to slip into days, days? well, well, well, a minute seems like a lifetime baby, when i feel this way a minute seems like a lifetime oh, baby, when i feel this way i feel this way",447,96,90,21.476510067114095,93.75
led zeppelin (boxed set),for your life,"well, well oh... oh, oh, oh you said i was the only with my lemon in your hand uh oh, uh oh exhibition is your habit emotion second hand uh oh, uh oh had to pull away to save me maybe next time around, ohh... and she said, ""don't you want it? don't you want cocaine, cocaine, cocaine?"" hadn't planned to, could not stand to try it, fry it, na na na na yeah ooooh oooh heard a cry for mercy in the city of the damned uh oh, babe, damned in the pits you go no lower the next stop's underground oh, hello, underground your wine and roses ain't quite over fate deals a losing hand and i said, didn't mean to did not mean to f-fail you didn't plan it, you over-ran it see led zeppelin liveget tickets as low as $39you might also like do you want it? do you want to do it when you want to? do you want it? do you want to do it when you want to? when you blow it, babe you got to blow it right oh, baby, if you fake it, mama baby, fake with all your might when you fake it, mama please fake it right for yourself, babe when you fake it, baby you're faking it for your life, for your life for your life, for your life do it, do it, do it, do it, do it do it when you wanna do it, do it, do it, do it, do it do it when you wanna  oh, i can have you, baby but i don't know what to do, yeah sometime, baby, nothing i could do, yeah on the balance of a crystal paying through the nose *snort* and when they couldn't resist you i thought you'd go with the flow and now your stage is empty bring down the curtain, baby, please fold up your show hadn't planned to could not stand to fry in it i hadn't planned it i over-ran it, frying for your life, for your life8embed well, well oh... oh, oh, oh you said i was the only with my lemon in your hand uh oh, uh oh exhibition is your habit emotion second hand uh oh, uh oh had to pull away to save me maybe next time around, ohh... and she said, ""don't you want it? don't you want cocaine, cocaine, cocaine?"" hadn't planned to, could not stand to try it, fry it, na na na na yeah ooooh oooh heard a cry for mercy in the city of the damned uh oh, babe, damned in the pits you go no lower the next stop's underground oh, hello, underground your wine and roses ain't quite over fate deals a losing hand and i said, didn't mean to did not mean to f-fail you didn't plan it, you over-ran it  do you want it? do you want to do it when you want to? do you want it? do you want to do it when you want to? when you blow it, babe you got to blow it right oh, baby, if you fake it, mama baby, fake with all your might when you fake it, mama please fake it right for yourself, babe when you fake it, baby you're faking it for your life, for your life for your life, for your life do it, do it, do it, do it, do it do it when you wanna do it, do it, do it, do it, do it do it when you wanna  oh, i can have you, baby but i don't know what to do, yeah sometime, baby, nothing i could do, yeah on the balance of a crystal paying through the nose *snort* and when they couldn't resist you i thought you'd go with the flow and now your stage is empty bring down the curtain, baby, please fold up your show hadn't planned to could not stand to fry in it i hadn't planned it i over-ran it, frying for your life, for your life",716,137,127,19.134078212290504,92.7007299270073
led zeppelin (boxed set),in the evening,"in the evening when the day is done i'm looking for a woman oh, but the girl don't come so don't let her play you for a fool she don't show no pity, baby no, no, she don't make no rules oh, i need your love i need your love oh, i need your love i just got to have so don't you let her oh, get under your skin it's only bad luck and trouble oh, from the day that you begin i hear you crying in the darkness no, don't ask nobody's help oh, ain't no pockets full of mercy, baby because you can only blame yourself see led zeppelin liveget tickets as low as $39you might also like oh, i need your love oh, oh, need your love ooh, yeah, i need your love i got to have ooh, it's simple all the pain that you go through you can turn away from fortune, fortune, fortune because that's all that's left to you hey, it's lonely at the bottom man, it's dizzy at the top but if you're standing in the middle, oh, oh, kh ain't no way you're gonna stop oh, baby oh, oh, i need your love oh, oh, i need your love oh, oh, i need your love i've got to have  ooh, whatever that your days may bring no use hiding in a corner, oh, no 'cuse that won't change a thing if you're dancing in the doldrums one day soon, it's got to stop, it's got to stop when you're the master of the off-chance whell, you don't expect a lot, oh oh, i need your love oh, oh, i need your love ooh, yeah, i need your love i've got to have, i've got to have aw, baby, i've got to have your love i've got to have oh, babe, i've got to have your love oh, oh, have your love oh, oh, oh, oh, i've got to have your love just got to i just got i just got to, oh, oh oh, oh, oh, oh, oh, oh2embed in the evening when the day is done i'm looking for a woman oh, but the girl don't come so don't let her play you for a fool she don't show no pity, baby no, no, she don't make no rules oh, i need your love i need your love oh, i need your love i just got to have so don't you let her oh, get under your skin it's only bad luck and trouble oh, from the day that you begin i hear you crying in the darkness no, don't ask nobody's help oh, ain't no pockets full of mercy, baby because you can only blame yourself oh, i need your love oh, oh, need your love ooh, yeah, i need your love i got to have ooh, it's simple all the pain that you go through you can turn away from fortune, fortune, fortune because that's all that's left to you hey, it's lonely at the bottom man, it's dizzy at the top but if you're standing in the middle, oh, oh, kh ain't no way you're gonna stop oh, baby oh, oh, i need your love oh, oh, i need your love oh, oh, i need your love i've got to have  ooh, whatever that your days may bring no use hiding in a corner, oh, no 'cuse that won't change a thing if you're dancing in the doldrums one day soon, it's got to stop, it's got to stop when you're the master of the off-chance whell, you don't expect a lot, oh oh, i need your love oh, oh, i need your love ooh, yeah, i need your love i've got to have, i've got to have aw, baby, i've got to have your love i've got to have oh, babe, i've got to have your love oh, oh, have your love oh, oh, oh, oh, i've got to have your love just got to i just got i just got to, oh, oh oh, oh, oh, oh, oh, oh",753,132,122,17.52988047808765,92.42424242424242
led zeppelin (boxed set 2),boogie with stu,"been in town, my baby, we just got to rock on yeah-yeah-yeah-yeah, darling, we just got to go home i don't want no tutti-frutti, no lollipop come on, baby, just rock, rock, rock yeah-yeah-yeah-yeah, honey we've been shaking all night oh, oh, oh, oh darling, we just got to roll right aaah, ooh, my head, rock on, rock on  hey babe, hey babe, hey babe, hey babe hey babe, hey babe, hey babe, hey babe i don't want no tutti-frutti, no lollipop come on baby, just rock, rock, rock ooh hoo, ooh hoo ooh hoo, ooh hoo ooh hoo, ooh hoo ooh hoo, ooh hoo oohoo oohoo oohoo oohoo oohoo let's go out ooh hoo, ooh hoo ooh hoo, ooh hoo ooh hoo, ooh hoo i don't want no tutti-frutti, no lollipop come on baby, just rock, rock, yeah see led zeppelin liveget tickets as low as $39you might also like1embed been in town, my baby, we just got to rock on yeah-yeah-yeah-yeah, darling, we just got to go home i don't want no tutti-frutti, no lollipop come on, baby, just rock, rock, rock yeah-yeah-yeah-yeah, honey we've been shaking all night oh, oh, oh, oh darling, we just got to roll right aaah, ooh, my head, rock on, rock on  hey babe, hey babe, hey babe, hey babe hey babe, hey babe, hey babe, hey babe i don't want no tutti-frutti, no lollipop come on baby, just rock, rock, rock ooh hoo, ooh hoo ooh hoo, ooh hoo ooh hoo, ooh hoo ooh hoo, ooh hoo oohoo oohoo oohoo oohoo oohoo let's go out ooh hoo, ooh hoo ooh hoo, ooh hoo ooh hoo, ooh hoo i don't want no tutti-frutti, no lollipop come on baby, just rock, rock, yeah",321,55,55,17.133956386292834,100.0
led zeppelin (boxed set 2),black country woman,"shall we roll it, jimmy? we're rolling on, what, one? no, one again? *airplane heard flying overhead* got to get this airplane off naw, leave it, yeah hey, hey, mama, what's the matter here? hey, hey, mama, what's the matter here? you didn't have to tell me that you love me so you didn't have to love me, mama, let me go hey, hey, mama, what's the matter here? you didn't have to make me a total disgrace you didn't have to leave me with that beer in my face hey, hey, mama, what's the matter here? that's alright, it's awful dog-gone clear hey, hey, baby, why you treat me mean? oh, oh, baby, why you treat me mean? you didn't have to crucify me like you did you didn't have to tell me i was just your kid hey, hey, mama, why'd you treat me mean? you didn't have say you'd always be by my side you didn't have to tell me you'd be my blushing bride hey, hey, mama, why you treat me mean? but that's alright, i know your sisters, too see led zeppelin liveget tickets as low as $39you might also like you didn't have to tell me that you love me so you didn't have to leave me, mama, let me go hey, hey, mama, what is wrong with you? you didn't have to leave me like a total disgrace you didn't have to leave me with that beer on my face hey, hey, mama, what is wrong with you? oh, but that's alright, i'd be the same way, too oh yeah, oh oooh, yeah oooh now now now, you didn't have to crucify me like you did you didn't have to tell me i was just your kid hey, hey, mama, what's the matter here? you didn't have to tell me you would be my own you didn't have to tell me, baby, let me go hey, hey, mama, what is wrong with you? that's alright, i know your sister, too ooh, yeah yeah ooh yeah ooh, yeah yeah ooh, yeah yeah ooh yeah oh what's the matter with you, mama?1embed shall we roll it, jimmy? we're rolling on, what, one? no, one again? *airplane heard flying overhead* got to get this airplane off naw, leave it, yeah hey, hey, mama, what's the matter here? hey, hey, mama, what's the matter here? you didn't have to tell me that you love me so you didn't have to love me, mama, let me go hey, hey, mama, what's the matter here? you didn't have to make me a total disgrace you didn't have to leave me with that beer in my face hey, hey, mama, what's the matter here? that's alright, it's awful dog-gone clear hey, hey, baby, why you treat me mean? oh, oh, baby, why you treat me mean? you didn't have to crucify me like you did you didn't have to tell me i was just your kid hey, hey, mama, why'd you treat me mean? you didn't have say you'd always be by my side you didn't have to tell me you'd be my blushing bride hey, hey, mama, why you treat me mean? but that's alright, i know your sisters, too you didn't have to tell me that you love me so you didn't have to leave me, mama, let me go hey, hey, mama, what is wrong with you? you didn't have to leave me like a total disgrace you didn't have to leave me with that beer on my face hey, hey, mama, what is wrong with you? oh, but that's alright, i'd be the same way, too oh yeah, oh oooh, yeah oooh now now now, you didn't have to crucify me like you did you didn't have to tell me i was just your kid hey, hey, mama, what's the matter here? you didn't have to tell me you would be my own you didn't have to tell me, baby, let me go hey, hey, mama, what is wrong with you? that's alright, i know your sister, too ooh, yeah yeah ooh yeah ooh, yeah yeah ooh, yeah yeah ooh yeah oh what's the matter with you, mama?",769,101,91,13.133940182054616,90.0990099009901
led zeppelin (boxed set 2),black mountain side,your time is gonna come see led zeppelin liveget tickets as low as $39you might also like6embed your time is gonna come,25,18,18,72.0,100.0
led zeppelin (boxed set 2),hot dog,"one, two, three, four oh, hot dog well-a-well-a, i just got into town today to find my girl who's gone away she took the greyhound at the general store i searched myself, i searched the town when i finally did sit down i find myself no wiser than before she said we couldn't do no wrong no other love could be so strong she locked up my heart in her bottom drawer now she took my heart, she took my keys from in my old blue dungarees and i'll never go to texas anymore now my baby's gone, i don't know what to do she took my love and walked right out the door and if i ever find that girl, i know one thing for sure i'm going to give her something like she's never had before see led zeppelin liveget tickets as low as $39you might also like i took her love at seventeen a little late these days, it seems but they said heaven's well worth waiting for i took her word, i took it all beneath the sign that said ""u-haul"" she left angels hanging round for more ah, oh!  well now my baby's gone, i don't know what to do she took my love and walked right out the door and if i ever find that girl, i know one thing for sure i'm going to give her something like she's never had before, yeah i thought i had it all sewn up our love, a plot, a pickup truck but folks said she was after something more i never did quite understand all that talk about rocking bands but they just rolled my doll right out the door oh yeah, they just rolled my doll right out the door why, well, they just rolled my doll right out the door1embed one, two, three, four oh, hot dog well-a-well-a, i just got into town today to find my girl who's gone away she took the greyhound at the general store i searched myself, i searched the town when i finally did sit down i find myself no wiser than before she said we couldn't do no wrong no other love could be so strong she locked up my heart in her bottom drawer now she took my heart, she took my keys from in my old blue dungarees and i'll never go to texas anymore now my baby's gone, i don't know what to do she took my love and walked right out the door and if i ever find that girl, i know one thing for sure i'm going to give her something like she's never had before i took her love at seventeen a little late these days, it seems but they said heaven's well worth waiting for i took her word, i took it all beneath the sign that said ""u-haul"" she left angels hanging round for more ah, oh!  well now my baby's gone, i don't know what to do she took my love and walked right out the door and if i ever find that girl, i know one thing for sure i'm going to give her something like she's never had before, yeah i thought i had it all sewn up our love, a plot, a pickup truck but folks said she was after something more i never did quite understand all that talk about rocking bands but they just rolled my doll right out the door oh yeah, they just rolled my doll right out the door why, well, they just rolled my doll right out the door",635,146,141,22.992125984251967,96.57534246575342
led zeppelin (boxed set 2),night flight,"i received a message from my brother across the water he sat laughing as he wrote, ""the end's in sight"" so i said goodbye to all my friends and packed my hopes inside a matchbox 'cause i know it's time to fly oh, yeah, come on, meet me in the morning meet me in the middle of the night ah, yeah, the morning light is coming don't it make you wanna go and feel alright? ooh yeah, ah hah i just jumped a train that never stops so now somehow i know i'll never finish paying for my ride someone pushed a gun into my hand tell me i'm the type of man to fight the fight without inquiring oh, yeah-ha come on, meet me in the morning won't you meet me in the middle of the night, night, night, yeah? oh, well, the morning light is coming don't it make you wanna go and feel alright? oh, mama, well, i think it's time i'm leaving nothing here to make me stay whoa, mama, well, it must be time i'm going they're knocking down them doors, they're trying to take me away please, mr. brakeman, won't you ring your bell and ring it loud and clear? please, mr. fireman, won't you ring your bell? tell the people they got to fly away from here see led zeppelin liveget tickets as low as $39you might also like oh, i once saw a picture of a lady with a baby southern lady, had a very, very special smile we are in the middle of a change in destination when the train stops, all together we will smile oh, come on, come on now, meet me in the morning won't you meet me in the middle of the night, night, n-n-night? oh, oh yeah, everybody know the morning time is coming don't it make you wanna feel alright? ah, ah, yeah make me feel alright fly now, baby get to fly, yeah fly now, baby oh, hey hey uh, uh, uh, uh3embed i received a message from my brother across the water he sat laughing as he wrote, ""the end's in sight"" so i said goodbye to all my friends and packed my hopes inside a matchbox 'cause i know it's time to fly oh, yeah, come on, meet me in the morning meet me in the middle of the night ah, yeah, the morning light is coming don't it make you wanna go and feel alright? ooh yeah, ah hah i just jumped a train that never stops so now somehow i know i'll never finish paying for my ride someone pushed a gun into my hand tell me i'm the type of man to fight the fight without inquiring oh, yeah-ha come on, meet me in the morning won't you meet me in the middle of the night, night, night, yeah? oh, well, the morning light is coming don't it make you wanna go and feel alright? oh, mama, well, i think it's time i'm leaving nothing here to make me stay whoa, mama, well, it must be time i'm going they're knocking down them doors, they're trying to take me away please, mr. brakeman, won't you ring your bell and ring it loud and clear? please, mr. fireman, won't you ring your bell? tell the people they got to fly away from here oh, i once saw a picture of a lady with a baby southern lady, had a very, very special smile we are in the middle of a change in destination when the train stops, all together we will smile oh, come on, come on now, meet me in the morning won't you meet me in the middle of the night, night, n-n-night? oh, oh yeah, everybody know the morning time is coming don't it make you wanna feel alright? ah, ah, yeah make me feel alright fly now, baby get to fly, yeah fly now, baby oh, hey hey uh, uh, uh, uh",705,152,141,21.56028368794326,92.76315789473685
